"","Country.Name","Surviveto65Female2014","Survivorto65Male2014","LifeFemale2014","LifeMale2014","LifeTotal2014","HealthPerCapita2014","HealthGDP2014","PopFemale2014","PopMale2014","RuralPop2014","Sanitation2014","CO22014","Greenhouse2012","Education2014","Water2014"
"19","Bhutan",68.8686488,69.5408616,70.272,69.809,70.046,82.32856853,3.46894211,340165,378891,62.082,66.26135271,1001.091,3296.963725,NA,95.98522346
"20","Bolivia",74.5802338,65.8229498,72.655,67.271,69.891,180.4961378,5.77771607,5323698,5382819,31.953,55.04749222,20410.522,621726.7268,14,90.80893315
"21","Bosnia and Herzegovina",89.0871,79.9790296,79.139,74.24,76.723,496.6091939,9.56130986,1774340,1707764,53.16,95.29053236,22233.021,27108.4002,9,96.16812795
"22","Botswana",69.728998,57.8231522,68.89,63.474,66.265,397.5705924,5.30536553,1080795,1007819,33.632,73.21769109,7033.306,82110.27676,NA,87.46341808
"23","Brazil",84.1804048,71.9436332,78.45,71.099,74.745,1301.101346,10.81982148,102907987,99855748,14.508,85.67658591,529808.16,2989417.957,14,97.2463708
"24","Brunei Darussalam",83.9461258,77.6203714,76.416,74.048,75.193,795.0393734,1.91436808,196752,213017,23.668,96.34904195,9108.828,14828.96701,9,99.90000909
"25","Bulgaria",86.3344638,70.975794,78,71.1,74.46585366,666.4014104,8.51112283,3709343,3514595,26.349,85.97258001,42416.189,67942.69563,11,99.22936207
"26","Burkina Faso",59.7571958,55.6358278,60.03,58.739,59.45,39.55127795,5.6191598,8835392,8750625,73.066,18.50230088,2849.259,43910.40239,10,49.06718
"27","Burundi",59.6756964,52.5693196,61.433,57.871,59.665,16.00598109,5.39602419,4971725,4872572,88.224,45.89550541,440.04,6254.371024,NA,58.96253932
"28","Cambodia",75.2623454,66.0891626,70.234,66.127,68.273,73.29931442,6.69680331,7825695,7448808,78.201,50.20439975,6684.941,127399.5869,NA,73.81615145
"29","Cameroon",54.7297574,49.2358056,58.418,55.76,57.083,71.24243367,4.53427929,11351126,11330732,46.024,38.87281004,7003.97,100922.1362,6,60.24668004
"30","Canada",91.9529518,87.673452,83.9,79.8,81.8,5038.155427,9.96972621,17864828,17572607,18.782,99.40172004,537193.498,1027063.855,10,99.36540868
"31","Central African Republic",42.880879,35.1783226,51.928,48.338,50.129,18.30316205,4.85324878,2252277,2211898,60.041,25.05576373,300.694,515134.0786,10,46.12953432
"32","Chad",48.9307048,43.6833588,54.196,51.403,52.789,46.88535547,4.55046895,6845613,6817946,77.628,9.113696975,729.733,109796.02,10,39.1640248
"33","Chile",89.9645448,82.4452662,82.191,76.669,79.504,1154.848199,7.80602661,9019140,8739819,12.697,99.25463699,82562.505,120687.8924,12,99.40006826
"34","China",87.8708532,81.7352556,77.972,73.517,75.629,361.7244399,4.77322745,663493378,700776622,45.741,80.08229365,10291926.88,12454710.61,9,91.13934479
"35","Colombia",86.2024832,76.8919928,79.164,73.45,76.322,459.4753247,5.80630699,23955439,23013770,20.585,86.50196763,84091.644,173411.7679,10,96.34635313
"36","Comoros",66.260097,58.9378586,64.917,61.564,63.214,68.58201175,7.59488902,376437,382953,71.662,34.86743107,154.014,564.2206617,6,80.20603489
